timestep,true_position,predicted_position,trajectory_error,path_error,nees,train_samples,test_id
0.0,[ 1148.6316125  11254.32427759     0.        ],[ 1148.6316125  11254.32427759     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,500,274
57.0,[ 1259.02344087 10689.78328095    57.        ],[ 1187.28361728 10664.57577206    60.        ],[-71.7398236  -25.20750889   3.        ],[-71.7398236  -25.20750889   3.        ],0.024838565713466786,500,274
230.0,[1498.91694353 9081.77744084  230.        ],[1312.44111236 9007.34174743  230.        ],[-186.47583118  -74.43569341    0.        ],[-191.63768141   32.22427123  -10.        ],0.13247837468201892,500,274
418.0,[1686.86135049 7279.63600782  418.        ],[1427.16162825 7019.19539802  420.        ],[-259.69972223 -260.4406098     2.        ],[-277.3078867   -68.22257073  -18.        ],0.4290107608166434,500,274
719.0,[1881.11386192 4272.48165939  719.        ],[1710.72482848 4281.03729973  720.        ],[-170.38903344    8.55564034    1.        ],[-170.38903344    8.55564034    1.        ],0.6854024748908878,500,274
778.0,[1942.52511434 3668.36042829  778.        ],[1765.37846815 3715.02979654  780.        ],[-177.14664619   46.66936826    2.        ],[-168.28752535  -48.4773564    12.        ],1.1307656765792173,500,274
959.0,[2075.36637336 1853.37866419  959.        ],[1921.86735498 2007.87722972  960.        ],[-153.49901838  154.49856553    1.        ],[-132.82428526  -33.15659379   21.        ],2.273226340779246,500,274
1018.0,[2160.7113163   796.03701129 1018.        ],[1987.69442569 1458.81971153 1020.        ],[-173.01689061  662.78270024    2.        ],[-105.19879311  194.83913378   62.        ],11.19024171412819,500,274
1080.0,[2168.68921314  704.10168097 1080.        ],[2055.51252319  990.87614507 1080.        ],[-113.17668995  286.7744641     0.        ],[-113.17668995  286.7744641     0.        ],3.9405696558052585,500,274
0.0,[ 480.34360277 6363.06921312    0.        ],[ 480.34360277 6363.06921312    0.        ],[0. 0. 0.],[0. 0. 0.],0.0,500,275
148.0,[1889.8338887  7072.51727875  148.        ],[2023.77157221 7158.5702865   150.        ],[133.93768351  86.05300774   2.        ],[33.04033181 33.9451127  -8.        ],0.10014173237466119,500,275
202.0,[2448.10113503 7356.23273369  202.        ],[2535.47761726 7422.02954289  200.        ],[87.37648223 65.7968092  -2.        ],[-16.04511549  12.67581765 -12.        ],0.046170360121079605,500,275
368.0,[3888.20428093 8150.19469453  368.        ],[4231.82266526 8271.15133001  370.        ],[343.61838434 120.95663547   2.        ],[ 56.50720996 -18.94916665 -28.        ],0.5149405143281683,500,275
509.0,[5137.02343514 8872.77704944  509.        ],[5552.65720999 8884.39527118  510.        ],[415.63377485  11.61822174   1.        ],[  34.50139375 -159.38078394  -39.        ],0.6658142596730718,500,275
740.0,[ 7226.11921236 10076.96533282   740.        ],[7917.51300132 9793.5598153   740.        ],[ 691.39378896 -283.40551751    0.        ],[ 159.57190102 -461.82875493  -50.        ],2.30934731083635,500,275
811.0,[ 8002.01606319 10452.76728653   811.        ],[ 8679.10509201 10020.65902024   810.        ],[ 677.08902882 -432.10826629   -1.        ],[ 130.94436112 -591.55723605  -51.        ],2.9243595088396352,500,275
878.0,[ 8613.34560013 10650.49975151   878.        ],[ 9460.28852254 10217.39746546   880.        ],[ 846.94292241 -433.10228605    2.        ],[ 175.93837513 -599.78559588  -58.        ],3.643217040169526,500,275
0.0,[12687.82449565 11705.09709633     0.        ],[12687.82449565 11705.09709633     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,94,276
218.0,[10826.74814207  9708.77794008   218.        ],[11078.25297528  9944.39899258   220.        ],[251.50483321 235.62105251   2.        ],[34.44507136  7.87336059 32.        ],0.591760842276423,94,276
266.0,[10136.0107017   8981.40245378   266.        ],[10717.91851582  9566.94897839   270.        ],[581.90781413 585.5465246    4.        ],[-18.96622442 -33.89240278  84.        ],3.305672191223239,94,276
359.0,[9613.92228988 8435.71264196  359.        ],[10041.74009647  8868.85538035   360.        ],[427.8178066  433.14273839   1.        ],[  2.24064181 -17.75707497  61.        ],1.566604251521714,94,276
477.0,[8584.95912998 7362.24454614  477.        ],[9166.05961869 7966.05974782  480.        ],[581.10048871 603.81520167   3.        ],[-25.32947354 -13.07261776  73.        ],3.0268400190544895,94,276
587.0,[7531.13461713 6481.66624064  587.        ],[8278.96540631 7064.92379663  590.        ],[747.83078918 583.25755599   3.        ],[115.33710663 -57.72555508  93.        ],4.037722832324733,94,276
729.0,[6162.27594535 5305.9389169   729.        ],[7280.65386879 6066.60022025  730.        ],[1.11837792e+03 7.60661303e+02 1.00000000e+00],[ 207.31180904 -171.95032156  141.        ],9.759241520133582,94,276
877.0,[4391.73944428 3796.34589456  877.        ],[6316.94621521 5081.00826195  880.        ],[1925.20677093 1284.66236739    3.        ],[1222.09265553  598.67800511  103.        ],19.825712453607775,94,276
971.0,[3805.64232525 3295.28617284  971.        ],[5693.26462658 4469.16030474  970.        ],[ 1.88762230e+03  1.17387413e+03 -1.00000000e+00],[1808.18977456 1099.73772683    9.        ],14.91438173696103,94,276
0.0,[5993.44138431 2093.59162331    0.        ],[5993.44138431 2093.59162331    0.        ],[0. 0. 0.],[0. 0. 0.],0.0,27,278
64.0,[5809.7642245  2013.74882596   64.        ],[5783.91502074 2008.08468126   60.        ],[-25.84920376  -5.6641447   -4.        ],[  8.99372495   8.53638226 -14.        ],0.0028160527129875027,27,278
433.0,[4359.27125946 1426.03307315  433.        ],[4511.23519348 1490.19478048  430.        ],[151.96393401  64.16170733  -3.        ],[15.14668564  8.23825946 37.        ],0.11282071630514073,27,278
803.0,[2848.48023692  897.29756683  803.        ],[3242.15917006  969.42581156  800.        ],[393.67893315  72.12824473  -3.        ],[ 20.19169221 -82.15657362 107.        ],0.6819373183210382,27,278
1002.0,[1990.2069629   620.19733149 1002.        ],[2566.95300887  690.0603298  1000.        ],[576.74604597  69.86299831  -2.        ],[211.07963807 -82.81074194 108.        ],1.474918082429326,27,278
1108.0,[1462.18151157  457.6201634  1108.        ],[2201.28660097  537.38658955 1110.        ],[739.1050894   79.76642615   2.        ],[739.1050894   79.76642615   2.        ],2.4624927042918907,27,278
0.0,[11479.82248806  8204.53201742     0.        ],[11479.82248806  8204.53201742     0.        ],[0. 0. 0.],[0. 0. 0.],0.0,38,279
113.0,[10750.67982336  7652.13565055   113.        ],[10697.72196625  7726.220419     110.        ],[-52.95785711  74.08476845  -3.        ],[-52.95785711  74.08476845  -3.        ],0.03352774127054269,38,279
363.0,[9155.10045532 6430.32026082  363.        ],[8912.02375641 6635.36743711  360.        ],[-243.07669891  205.04717629   -3.        ],[-171.75626876  248.63102684  -13.        ],0.4200054436506833,38,279
473.0,[8459.35363787 5890.61245817  473.        ],[8128.74859901 6156.64048635  470.        ],[-330.60503885  266.02802818   -3.        ],[-188.30868422  353.02894474  -23.        ],0.75948208646639,38,279
610.0,[7574.36368606 5200.34818039  610.        ],[7133.94298598 5547.87241126  610.        ],[-440.42070008  347.52423087    0.        ],[-298.56045714  434.3583816   -20.        ],1.3527584949038924,38,279
724.0,[6871.19556921 4660.73364911  724.        ],[6356.75600183 5072.13243577  720.        ],[-514.43956738  411.39878665   -4.        ],[-303.01731719  540.77902175  -34.        ],1.8875712406884606,38,279
843.0,[6114.22303182 4087.69944901  843.        ],[5506.08962064 4552.12486866  840.        ],[-608.13341118  464.42541965   -3.        ],[-394.37183465  594.97757551  -33.        ],2.5644951090169106,38,279
